envio_id,pedido_id,fecha_envio,fecha_entrega_estimada,transportista,numero_seguimiento,costo_envio,estado_id,notas
1,1444,2024-05-31 15:24:06,2024-06-07 15:24:06,FedEx,TRACK0001,19.09,5,Nota 1
2,1068,2023-12-22 04:30:51,2023-12-29 04:30:51,DHL,TRACK0002,51.52,1,Nota 2
3,1614,2024-12-18 01:24:41,2024-12-26 01:24:41,Correos,TRACK0003,79.67,4,Nota 3
4,596,2025-03-09 03:13:49,2025-03-14 03:13:49,FedEx,TRACK0004,34.78,4,Nota 4
5,1014,2023-02-24 03:17:16,2023-03-01 03:17:16,UPS,TRACK0005,26.35,2,Nota 5
6,568,2023-07-06 23:18:26,2023-07-10 23:18:26,Correos,TRACK0006,28.87,5,Nota 6
7,530,2025-06-14 22:47:35,2025-06-15 22:47:35,FedEx,TRACK0007,85.42,5,Nota 7
8,641,2025-06-04 02:09:44,2025-06-07 02:09:44,FedEx,TRACK0008,57.91,4,Nota 8
9,2088,2023-11-11 18:47:05,2023-11-13 18:47:05,DHL,TRACK0009,78.21,5,Nota 9
10,1196,2023-04-29 21:44:19,2023-05-04 21:44:19,FedEx,TRACK0010,63.23,1,Nota 10
11,691,2023-12-17 14:04:15,2023-12-26 14:04:15,FedEx,TRACK0011,64.06,4,Nota 11
12,1469,2023-10-13 22:26:35,2023-10-23 22:26:35,UPS,TRACK0012,18.12,5,Nota 12
13,742,2023-01-03 18:33:15,2023-01-05 18:33:15,UPS,TRACK0013,78.2,2,Nota 13
14,1609,2024-02-09 23:46:59,2024-02-13 23:46:59,DHL,TRACK0014,33.14,3,Nota 14
15,497,2024-09-06 09:58:46,2024-09-08 09:58:46,FedEx,TRACK0015,75.71,5,Nota 15
16,1642,2023-04-18 04:52:24,2023-04-27 04:52:24,DHL,TRACK0016,41.03,1,Nota 16
17,1421,2025-02-02 12:38:16,2025-02-12 12:38:16,DHL,TRACK0017,63.93,4,Nota 17
18,2385,2023-12-30 10:55:55,2024-01-09 10:55:55,DHL,TRACK0018,17.53,4,Nota 18
19,104,2023-07-30 01:59:24,2023-08-07 01:59:24,UPS,TRACK0019,75.85,3,Nota 19
20,1986,2023-11-09 12:18:02,2023-11-12 12:18:02,Correos,TRACK0020,28.07,1,Nota 20
21,319,2023-01-11 18:39:04,2023-01-21 18:39:04,Correos,TRACK0021,40.79,4,Nota 21
22,2708,2023-12-09 21:00:03,2023-12-12 21:00:03,DHL,TRACK0022,71.53,3,Nota 22
23,2419,2024-09-27 03:52:31,2024-10-06 03:52:31,Correos,TRACK0023,65.98,5,Nota 23
24,1033,2025-03-13 04:00:00,2025-03-21 04:00:00,Correos,TRACK0024,28.67,4,Nota 24
25,2575,2023-04-25 02:55:43,2023-04-29 02:55:43,FedEx,TRACK0025,7.65,1,Nota 25
26,1498,2025-12-07 04:37:42,2025-12-08 04:37:42,Correos,TRACK0026,18.13,1,Nota 26
27,1938,2025-06-11 10:50:29,2025-06-16 10:50:29,FedEx,TRACK0027,34.45,4,Nota 27
28,2153,2023-12-20 20:36:01,2023-12-29 20:36:01,FedEx,TRACK0028,6.78,2,Nota 28
29,2227,2025-12-08 02:55:18,2025-12-15 02:55:18,DHL,TRACK0029,19.55,2,Nota 29
30,364,2023-07-10 20:03:13,2023-07-11 20:03:13,Correos,TRACK0030,48.05,1,Nota 30
31,2118,2025-10-07 07:26:21,2025-10-12 07:26:21,DHL,TRACK0031,17.84,5,Nota 31
32,1768,2025-02-03 12:18:08,2025-02-09 12:18:08,UPS,TRACK0032,37.95,1,Nota 32
33,2673,2025-08-25 02:38:13,2025-08-31 02:38:13,FedEx,TRACK0033,11.7,2,Nota 33
34,1155,2023-02-05 09:58:17,2023-02-11 09:58:17,Correos,TRACK0034,64.97,5,Nota 34
35,2937,2025-12-27 22:23:48,2026-01-06 22:23:48,FedEx,TRACK0035,10.53,2,Nota 35
36,428,2023-08-27 13:26:42,2023-09-04 13:26:42,Correos,TRACK0036,43.37,1,Nota 36
37,469,2025-05-04 17:32:14,2025-05-05 17:32:14,UPS,TRACK0037,41.47,1,Nota 37
38,905,2025-09-01 13:14:39,2025-09-04 13:14:39,FedEx,TRACK0038,7.26,2,Nota 38
39,1710,2024-05-30 04:47:32,2024-06-03 04:47:32,DHL,TRACK0039,74.64,5,Nota 39
40,1972,2024-07-05 08:03:31,2024-07-12 08:03:31,FedEx,TRACK0040,11.29,5,Nota 40
41,1566,2023-02-23 14:51:43,2023-02-24 14:51:43,FedEx,TRACK0041,36.78,4,Nota 41
42,72,2024-05-19 15:20:19,2024-05-26 15:20:19,Correos,TRACK0042,88.13,5,Nota 42
43,898,2024-06-04 10:23:50,2024-06-11 10:23:50,FedEx,TRACK0043,16.62,4,Nota 43
44,2556,2024-03-12 11:28:21,2024-03-16 11:28:21,UPS,TRACK0044,96.14,4,Nota 44
45,2321,2023-11-28 06:28:37,2023-11-29 06:28:37,UPS,TRACK0045,62.48,3,Nota 45
46,2638,2024-09-06 05:19:08,2024-09-12 05:19:08,UPS,TRACK0046,62.93,5,Nota 46
47,296,2025-09-09 20:28:30,2025-09-15 20:28:30,Correos,TRACK0047,39.38,5,Nota 47
48,2088,2023-03-25 09:01:35,2023-04-03 09:01:35,FedEx,TRACK0048,19.75,5,Nota 48
49,1086,2024-03-15 11:35:45,2024-03-22 11:35:45,UPS,TRACK0049,82.01,4,Nota 49
50,290,2025-09-04 00:35:02,2025-09-13 00:35:02,DHL,TRACK0050,14.86,3,Nota 50
51,1471,2023-02-17 02:04:21,2023-02-27 02:04:21,UPS,TRACK0051,58.33,2,Nota 51
52,1295,2024-10-15 01:22:26,2024-10-20 01:22:26,UPS,TRACK0052,68.78,2,Nota 52
53,836,2025-05-13 06:33:43,2025-05-14 06:33:43,FedEx,TRACK0053,51.65,1,Nota 53
54,319,2023-04-17 10:22:38,2023-04-19 10:22:38,DHL,TRACK0054,11.69,4,Nota 54
55,1509,2025-07-31 22:35:02,2025-08-09 22:35:02,UPS,TRACK0055,97.92,4,Nota 55
