purchaseOrderId,clintId,addressShipperId,datePurchaseOrder,subtotal,iva,amountTotal,statusOrder,paymentMethod,shipperId,carrier,trackingNumber,amountShipper,statusId,noteShipper
821b2e4e-10dd-4ab5-8d27-a8707dc2e8e6,CL1242,ADDR198,2025-06-25 06:57:14,835.32,150.36,985.68,Shipped,Cash,SHP788,DHL,TRK186993,93.79,1,Leave at front door
2c1f321a-edc6-4000-9cc4-09ad3a195eb9,CL5652,ADDR741,2025-03-04 06:57:14,240.91,43.36,284.27,Cancelled,Bank Transfer,SHP310,UPS,TRK254738,51.11,5,Fragile
1c1f75d1-76f5-4cfa-ae90-48831bfa7feb,CL3048,ADDR425,2025-03-17 06:57:14,339.33,61.08,400.41,Processing,Bank Transfer,SHP601,FedEx,TRK949554,98.84,4,Fragile
c2bb3651-8e21-40a5-8038-5dde5783849b,CL3239,ADDR215,2024-09-21 06:57:14,989.54,178.12,1167.66,Delivered,Cash,SHP516,DHL,TRK283518,10.56,1,Fragile
f9ed9fe0-ba15-4f51-b47f-d561049fcce3,CL9092,ADDR532,2025-01-30 06:57:14,761.84,137.13,898.97,Cancelled,PayPal,SHP850,UPS,TRK601243,44.28,1,Fragile
f94d23b1-6edf-4100-91db-5e6196d81c97,CL3858,ADDR429,2025-06-10 06:57:14,492.24,88.60,580.84,Pending,Bank Transfer,SHP457,UPS,TRK460306,22.36,3,Signature required
882ed917-52ec-406c-9dca-9add3eded55e,CL9631,ADDR300,2025-02-05 06:57:14,455.41,81.97,537.38,Processing,Cash,SHP907,USPS,TRK650196,77.02,5,Handle with care
eb168531-c12e-496b-943c-c89af48334c8,CL9467,ADDR329,2025-03-13 06:57:14,397.24,71.50,468.74,Cancelled,Cash,SHP555,DHL,TRK651298,74.38,5,Fragile
eb2bbbaf-0611-4f34-ae00-39b140ce701e,CL2024,ADDR885,2025-01-31 06:57:14,181.84,32.73,214.57,Pending,Cash,SHP731,FedEx,TRK285759,65.69,4,Fragile
a51393a7-d343-40f2-888b-ba6c2ef7efbe,CL4951,ADDR920,2024-09-04 06:57:14,452.34,81.42,533.76,Processing,PayPal,SHP593,DHL,TRK334526,78.47,4,Handle with care
